source,participant-id,timestamp,total-sleep-records,total-minutes-asleep,total-time-in-bed
fitbit,1503960366,1460419200.0,1,327,346
fitbit,1503960366,1460505600.0,2,384,407
fitbit,1503960366,1460678400.0,1,412,442
fitbit,1503960366,1460764800.0,2,340,367
fitbit,1503960366,1460851200.0,1,700,712
fitbit,1503960366,1461024000.0,1,304,320
fitbit,1503960366,1461110400.0,1,360,377
fitbit,1503960366,1461196800.0,1,325,364
fitbit,1503960366,1461369600.0,1,361,384
fitbit,1503960366,1461456000.0,1,430,449
fitbit,1503960366,1461542400.0,1,277,323
fitbit,1503960366,1461628800.0,1,245,274
fitbit,1503960366,1461801600.0,1,366,393
fitbit,1503960366,1461888000.0,1,341,354
fitbit,1503960366,1461974400.0,1,404,425
fitbit,1503960366,1462060800.0,1,369,396
fitbit,1503960366,1462147200.0,1,277,309
fitbit,1503960366,1462233600.0,1,273,296
fitbit,1503960366,1462406400.0,1,247,264
fitbit,1503960366,1462492800.0,1,334,367
fitbit,1503960366,1462579200.0,1,331,349
fitbit,1503960366,1462665600.0,1,594,611
fitbit,1503960366,1462752000.0,1,338,342
fitbit,1503960366,1462838400.0,1,383,403
fitbit,1503960366,1462924800.0,1,285,306
fitbit,1644430081,1461888000.0,1,119,127
fitbit,1644430081,1461974400.0,1,124,142
fitbit,1644430081,1462147200.0,1,796,961
fitbit,1644430081,1462665600.0,1,137,154
fitbit,1844505072,1460678400.0,1,644,961
fitbit,1844505072,1461974400.0,1,722,961
fitbit,1844505072,1462060800.0,1,590,961
fitbit,1927972279,1460419200.0,3,750,775
fitbit,1927972279,1460505600.0,1,398,422
fitbit,1927972279,1460678400.0,2,475,499
fitbit,1927972279,1461628800.0,1,296,315
fitbit,1927972279,1461801600.0,1,166,178
fitbit,2026352035,1460419200.0,1,503,546
fitbit,2026352035,1460505600.0,1,531,565
fitbit,2026352035,1460592000.0,1,545,568
fitbit,2026352035,1460678400.0,1,523,573
fitbit,2026352035,1460764800.0,1,524,567
fitbit,2026352035,1460851200.0,1,437,498
fitbit,2026352035,1461024000.0,1,498,540
fitbit,2026352035,1461110400.0,1,461,510
fitbit,2026352035,1461196800.0,1,477,514
fitbit,2026352035,1461283200.0,1,520,545
fitbit,2026352035,1461369600.0,1,522,554
fitbit,2026352035,1461456000.0,1,555,591
fitbit,2026352035,1461542400.0,1,506,531
fitbit,2026352035,1461715200.0,1,508,545
fitbit,2026352035,1461801600.0,1,513,545
fitbit,2026352035,1461888000.0,1,490,510
fitbit,2026352035,1461974400.0,1,573,607
fitbit,2026352035,1462060800.0,1,527,546
fitbit,2026352035,1462147200.0,1,511,543
fitbit,2026352035,1462320000.0,1,538,560
fitbit,2026352035,1462406400.0,1,468,485
fitbit,2026352035,1462492800.0,1,524,548
fitbit,2026352035,1462579200.0,1,511,521
fitbit,2026352035,1462665600.0,1,541,568
fitbit,2026352035,1462752000.0,1,531,556
fitbit,2026352035,1462838400.0,1,357,380
fitbit,2026352035,1462924800.0,1,523,553
fitbit,2026352035,1463011200.0,1,456,485
fitbit,2320127002,1461369600.0,1,61,69
fitbit,2347167796,1460505600.0,1,467,531
fitbit,2347167796,1460592000.0,1,445,489
fitbit,2347167796,1460678400.0,1,452,504
fitbit,2347167796,1460851200.0,1,556,602
fitbit,2347167796,1460937600.0,1,500,557
fitbit,2347167796,1461024000.0,1,465,514
fitbit,2347167796,1461196800.0,1,460,484
fitbit,2347167796,1461283200.0,1,405,461
fitbit,2347167796,1461369600.0,1,374,386
fitbit,2347167796,1461456000.0,1,442,459
fitbit,2347167796,1461542400.0,1,433,471
fitbit,2347167796,1461628800.0,1,436,490
fitbit,2347167796,1461715200.0,1,448,499
fitbit,2347167796,1461801600.0,1,408,450
fitbit,2347167796,1461888000.0,1,411,473
fitbit,3977333714,1460419200.0,1,274,469
fitbit,3977333714,1460505600.0,2,295,456
fitbit,3977333714,1460592000.0,1,291,397
fitbit,3977333714,1460678400.0,1,424,556
fitbit,3977333714,1460764800.0,1,283,510
fitbit,3977333714,1460851200.0,1,381,566
fitbit,3977333714,1460937600.0,2,412,522
fitbit,3977333714,1461024000.0,1,219,395
fitbit,3977333714,1461110400.0,2,152,305
fitbit,3977333714,1461196800.0,1,332,512
fitbit,3977333714,1461283200.0,1,355,476
fitbit,3977333714,1461369600.0,1,235,372
fitbit,3977333714,1461456000.0,1,310,526
fitbit,3977333714,1461542400.0,1,262,467
fitbit,3977333714,1461628800.0,1,250,371
fitbit,3977333714,1461715200.0,1,349,540
fitbit,3977333714,1461801600.0,1,261,423
fitbit,3977333714,1461888000.0,1,333,478
fitbit,3977333714,1461974400.0,1,237,382
fitbit,3977333714,1462060800.0,1,383,626
fitbit,3977333714,1462147200.0,1,230,384
fitbit,3977333714,1462233600.0,1,292,500
fitbit,3977333714,1462320000.0,1,213,336
fitbit,3977333714,1462406400.0,1,318,480
fitbit,3977333714,1462492800.0,1,323,512
fitbit,3977333714,1462579200.0,1,237,443
fitbit,3977333714,1462665600.0,2,259,456
fitbit,3977333714,1462838400.0,1,312,452
fitbit,4020332650,1460419200.0,1,501,541
fitbit,4020332650,1460764800.0,1,77,77
fitbit,4020332650,1462233600.0,1,322,332
fitbit,4020332650,1462320000.0,1,478,536
fitbit,4020332650,1462406400.0,1,226,248
fitbit,4020332650,1462492800.0,1,385,408
fitbit,4020332650,1462665600.0,1,364,402
fitbit,4020332650,1462838400.0,1,442,494
fitbit,4319703577,1460592000.0,1,535,557
fitbit,4319703577,1460678400.0,1,465,491
fitbit,4319703577,1460764800.0,1,506,522
fitbit,4319703577,1460937600.0,1,515,551
fitbit,4319703577,1461024000.0,2,461,498
fitbit,4319703577,1461110400.0,1,523,543
fitbit,4319703577,1461196800.0,1,59,65
fitbit,4319703577,1461283200.0,1,533,550
fitbit,4319703577,1461369600.0,1,692,722
fitbit,4319703577,1461456000.0,1,467,501
fitbit,4319703577,1461542400.0,1,488,506
fitbit,4319703577,1461628800.0,1,505,516
fitbit,4319703577,1461715200.0,1,286,307
fitbit,4319703577,1461801600.0,1,497,522
fitbit,4319703577,1461888000.0,1,523,546
fitbit,4319703577,1461974400.0,1,490,516
fitbit,4319703577,1462060800.0,1,484,500
fitbit,4319703577,1462147200.0,1,478,506
fitbit,4319703577,1462233600.0,1,474,512
fitbit,4319703577,1462492800.0,1,450,491
fitbit,4319703577,1462579200.0,1,507,530
fitbit,4319703577,1462665600.0,1,602,638
fitbit,4319703577,1462752000.0,1,535,565
fitbit,4319703577,1462838400.0,1,487,517
fitbit,4319703577,1462924800.0,1,529,558
fitbit,4319703577,1463011200.0,1,302,321
fitbit,4388161847,1460678400.0,1,499,526
fitbit,4388161847,1460764800.0,2,426,448
fitbit,4388161847,1460851200.0,2,619,641
fitbit,4388161847,1460937600.0,1,99,104
fitbit,4388161847,1461024000.0,1,329,338
fitbit,4388161847,1461110400.0,1,421,451
fitbit,4388161847,1461196800.0,1,442,458
fitbit,4388161847,1461283200.0,1,82,85
fitbit,4388161847,1461369600.0,1,478,501
fitbit,4388161847,1461456000.0,3,552,595
fitbit,4388161847,1461628800.0,1,319,346
fitbit,4388161847,1461715200.0,1,439,500
fitbit,4388161847,1461801600.0,1,428,458
fitbit,4388161847,1461974400.0,2,409,430
fitbit,4388161847,1462060800.0,1,547,597
fitbit,4388161847,1462147200.0,2,368,376
fitbit,4388161847,1462320000.0,1,390,414
fitbit,4388161847,1462406400.0,1,471,495
fitbit,4388161847,1462406400.0,1,471,495
fitbit,4388161847,1462579200.0,1,472,496
fitbit,4388161847,1462665600.0,2,529,541
fitbit,4388161847,1462752000.0,1,62,65
fitbit,4388161847,1462838400.0,1,354,375
fitbit,4388161847,1462924800.0,1,469,494
fitbit,4445114986,1460419200.0,2,429,457
fitbit,4445114986,1460505600.0,2,370,406
fitbit,4445114986,1460592000.0,1,441,492
fitbit,4445114986,1460678400.0,2,337,379
fitbit,4445114986,1460764800.0,1,462,499
fitbit,4445114986,1460851200.0,1,98,107
fitbit,4445114986,1461024000.0,2,388,424
fitbit,4445114986,1461110400.0,1,439,462
fitbit,4445114986,1461196800.0,1,436,469
fitbit,4445114986,1461283200.0,1,388,417
fitbit,4445114986,1461542400.0,1,328,345
fitbit,4445114986,1461628800.0,2,353,391
fitbit,4445114986,1461715200.0,1,332,374
fitbit,4445114986,1461801600.0,1,419,442
fitbit,4445114986,1461888000.0,1,106,108
fitbit,4445114986,1461974400.0,1,322,353
fitbit,4445114986,1462060800.0,2,439,459
fitbit,4445114986,1462147200.0,1,502,542
fitbit,4445114986,1462233600.0,2,417,450
fitbit,4445114986,1462320000.0,2,337,363
fitbit,4445114986,1462406400.0,2,462,513
fitbit,4445114986,1462492800.0,2,374,402
fitbit,4445114986,1462579200.0,2,401,436
fitbit,4445114986,1462665600.0,1,361,391
fitbit,4445114986,1462752000.0,1,457,533
fitbit,4445114986,1462838400.0,1,405,426
fitbit,4445114986,1462924800.0,1,499,530
fitbit,4445114986,1463011200.0,1,483,501
fitbit,4558609924,1461196800.0,1,126,137
fitbit,4558609924,1461628800.0,1,103,121
fitbit,4558609924,1461888000.0,1,171,179
fitbit,4558609924,1462060800.0,1,115,129
fitbit,4558609924,1462665600.0,1,123,134
fitbit,4702921684,1460419200.0,1,425,439
fitbit,4702921684,1460505600.0,2,400,430
fitbit,4702921684,1460592000.0,1,384,415
fitbit,4702921684,1460678400.0,1,253,257
fitbit,4702921684,1460764800.0,2,382,406
fitbit,4702921684,1460851200.0,1,591,612
fitbit,4702921684,1460937600.0,1,293,312
fitbit,4702921684,1461024000.0,1,457,487
fitbit,4702921684,1461110400.0,1,454,468
fitbit,4702921684,1461196800.0,1,425,434
fitbit,4702921684,1461369600.0,1,465,475
fitbit,4702921684,1461456000.0,1,480,506
fitbit,4702921684,1461542400.0,1,370,380
fitbit,4702921684,1461628800.0,1,421,429
fitbit,4702921684,1461715200.0,1,432,449
fitbit,4702921684,1461801600.0,1,442,461
fitbit,4702921684,1461888000.0,1,433,447
fitbit,4702921684,1461974400.0,1,479,501
fitbit,4702921684,1462233600.0,1,327,373
fitbit,4702921684,1462320000.0,1,412,434
fitbit,4702921684,1462406400.0,1,414,428
fitbit,4702921684,1462492800.0,1,404,449
fitbit,4702921684,1462579200.0,1,520,543
fitbit,4702921684,1462579200.0,1,520,543
fitbit,4702921684,1462752000.0,1,435,458
fitbit,4702921684,1462838400.0,1,416,431
fitbit,4702921684,1462924800.0,1,354,366
fitbit,4702921684,1463011200.0,1,404,442
fitbit,5553957443,1460419200.0,1,441,464
fitbit,5553957443,1460505600.0,2,455,488
fitbit,5553957443,1460592000.0,1,357,418
fitbit,5553957443,1460678400.0,1,377,409
fitbit,5553957443,1460764800.0,2,651,686
fitbit,5553957443,1460851200.0,1,350,402
fitbit,5553957443,1460937600.0,2,520,541
fitbit,5553957443,1461024000.0,1,357,410
fitbit,5553957443,1461110400.0,1,658,678
fitbit,5553957443,1461196800.0,1,399,431
fitbit,5553957443,1461283200.0,1,322,353
fitbit,5553957443,1461369600.0,2,631,725
fitbit,5553957443,1461456000.0,2,553,640
fitbit,5553957443,1461542400.0,1,433,468
fitbit,5553957443,1461628800.0,1,412,453
fitbit,5553957443,1461715200.0,1,347,391
fitbit,5553957443,1461801600.0,1,421,457
fitbit,5553957443,1461888000.0,1,450,495
fitbit,5553957443,1461974400.0,2,775,843
fitbit,5553957443,1462060800.0,2,622,686
fitbit,5553957443,1462147200.0,1,409,471
fitbit,5553957443,1462233600.0,1,380,429
fitbit,5553957443,1462320000.0,1,447,470
fitbit,5553957443,1462406400.0,1,419,464
fitbit,5553957443,1462492800.0,1,400,434
fitbit,5553957443,1462579200.0,1,442,470
fitbit,5553957443,1462665600.0,1,568,608
fitbit,5553957443,1462752000.0,1,453,494
fitbit,5553957443,1462838400.0,1,418,443
fitbit,5553957443,1462924800.0,1,463,486
fitbit,5553957443,1463011200.0,1,438,475
fitbit,5577150313,1460419200.0,1,419,438
fitbit,5577150313,1460505600.0,1,432,458
fitbit,5577150313,1460592000.0,1,477,497
fitbit,5577150313,1460678400.0,1,392,413
fitbit,5577150313,1460764800.0,1,406,445
fitbit,5577150313,1460851200.0,1,549,583
fitbit,5577150313,1460937600.0,1,527,553
fitbit,5577150313,1461024000.0,1,449,465
fitbit,5577150313,1461110400.0,1,447,480
fitbit,5577150313,1461196800.0,1,414,437
fitbit,5577150313,1461283200.0,1,338,366
fitbit,5577150313,1461369600.0,1,384,402
fitbit,5577150313,1461456000.0,1,543,615
fitbit,5577150313,1461542400.0,1,421,461
fitbit,5577150313,1461628800.0,1,354,377
fitbit,5577150313,1461715200.0,1,424,452
fitbit,5577150313,1461801600.0,1,361,372
fitbit,5577150313,1461888000.0,1,459,485
fitbit,5577150313,1461974400.0,1,412,433
fitbit,5577150313,1462060800.0,1,379,398
fitbit,5577150313,1462147200.0,2,525,553
fitbit,5577150313,1462233600.0,1,508,543
fitbit,5577150313,1462320000.0,1,603,634
fitbit,5577150313,1462406400.0,1,74,78
fitbit,5577150313,1462838400.0,1,504,562
fitbit,5577150313,1462924800.0,1,431,476
fitbit,6117666160,1460764800.0,1,380,398
fitbit,6117666160,1460851200.0,2,336,350
fitbit,6117666160,1460937600.0,2,493,510
fitbit,6117666160,1461024000.0,1,465,492
fitbit,6117666160,1461110400.0,1,474,502
fitbit,6117666160,1461196800.0,1,508,550
fitbit,6117666160,1461283200.0,1,480,546
fitbit,6117666160,1461369600.0,1,492,539
fitbit,6117666160,1461456000.0,1,353,367
fitbit,6117666160,1461715200.0,1,542,557
fitbit,6117666160,1461801600.0,1,393,416
fitbit,6117666160,1461888000.0,1,600,636
fitbit,6117666160,1462060800.0,1,507,575
fitbit,6117666160,1462406400.0,1,392,415
fitbit,6117666160,1462492800.0,2,658,698
fitbit,6117666160,1462579200.0,2,498,507
fitbit,6117666160,1462665600.0,1,555,603
fitbit,6117666160,1462752000.0,1,492,522
fitbit,6775888955,1460505600.0,1,235,260
fitbit,6775888955,1460592000.0,1,423,441
fitbit,6775888955,1460678400.0,1,391,406
fitbit,6962181067,1460419200.0,1,366,387
fitbit,6962181067,1460505600.0,3,630,679
fitbit,6962181067,1460592000.0,2,508,535
fitbit,6962181067,1460678400.0,1,370,386
fitbit,6962181067,1460764800.0,1,357,366
fitbit,6962181067,1460851200.0,1,427,446
fitbit,6962181067,1460937600.0,1,442,458
fitbit,6962181067,1461024000.0,1,476,535
fitbit,6962181067,1461110400.0,1,418,424
fitbit,6962181067,1461196800.0,1,451,457
fitbit,6962181067,1461283200.0,1,425,435
fitbit,6962181067,1461369600.0,1,528,546
fitbit,6962181067,1461456000.0,1,511,514
fitbit,6962181067,1461542400.0,1,400,415
fitbit,6962181067,1461628800.0,1,441,446
fitbit,6962181067,1461715200.0,1,455,467
fitbit,6962181067,1461801600.0,1,440,453
fitbit,6962181067,1461888000.0,1,433,447
fitbit,6962181067,1461974400.0,1,422,424
fitbit,6962181067,1462060800.0,1,411,426
fitbit,6962181067,1462147200.0,1,466,482
fitbit,6962181067,1462233600.0,1,394,418
fitbit,6962181067,1462320000.0,1,442,455
fitbit,6962181067,1462406400.0,1,467,491
fitbit,6962181067,1462492800.0,1,443,462
fitbit,6962181067,1462579200.0,1,298,334
fitbit,6962181067,1462665600.0,1,541,569
fitbit,6962181067,1462752000.0,1,489,497
fitbit,6962181067,1462838400.0,1,469,481
fitbit,6962181067,1462924800.0,1,452,480
fitbit,6962181067,1463011200.0,1,516,535
fitbit,7007744171,1460764800.0,1,79,82
fitbit,7007744171,1462060800.0,1,58,61
fitbit,7086361926,1460419200.0,1,514,525
fitbit,7086361926,1460505600.0,1,451,465
fitbit,7086361926,1460592000.0,1,472,476
fitbit,7086361926,1460678400.0,1,377,386
fitbit,7086361926,1461024000.0,1,472,483
fitbit,7086361926,1461110400.0,1,492,502
fitbit,7086361926,1461196800.0,1,390,411
fitbit,7086361926,1461283200.0,1,428,448
fitbit,7086361926,1461456000.0,1,681,704
fitbit,7086361926,1461542400.0,1,446,447
fitbit,7086361926,1461628800.0,1,485,500
fitbit,7086361926,1461715200.0,1,469,479
fitbit,7086361926,1461801600.0,1,354,367
fitbit,7086361926,1461974400.0,1,485,489
fitbit,7086361926,1462060800.0,1,388,407
fitbit,7086361926,1462147200.0,1,440,459
fitbit,7086361926,1462233600.0,1,456,461
fitbit,7086361926,1462320000.0,1,420,436
fitbit,7086361926,1462492800.0,1,322,333
fitbit,7086361926,1462579200.0,1,530,548
fitbit,7086361926,1462665600.0,1,481,510
fitbit,7086361926,1462752000.0,1,427,438
fitbit,7086361926,1462924800.0,1,451,463
fitbit,7086361926,1463011200.0,1,444,457
fitbit,8053475328,1461110400.0,1,486,493
fitbit,8053475328,1461369600.0,1,331,337
fitbit,8053475328,1462579200.0,1,74,75
fitbit,8378563200,1460419200.0,1,338,356
fitbit,8378563200,1460505600.0,2,447,487
fitbit,8378563200,1460592000.0,1,424,455
fitbit,8378563200,1460678400.0,1,513,533
fitbit,8378563200,1460764800.0,2,611,689
fitbit,8378563200,1460851200.0,2,525,591
fitbit,8378563200,1460937600.0,1,398,451
fitbit,8378563200,1461024000.0,1,387,421
fitbit,8378563200,1461110400.0,1,381,409
fitbit,8378563200,1461196800.0,1,396,417
fitbit,8378563200,1461283200.0,1,441,469
fitbit,8378563200,1461369600.0,1,565,591
fitbit,8378563200,1461456000.0,1,458,492
fitbit,8378563200,1461542400.0,1,388,402
fitbit,8378563200,1461542400.0,1,388,402
fitbit,8378563200,1461628800.0,1,550,584
fitbit,8378563200,1461715200.0,1,531,600
fitbit,8378563200,1461801600.0,1,506,556
fitbit,8378563200,1461888000.0,1,527,562
fitbit,8378563200,1461974400.0,1,468,555
fitbit,8378563200,1462060800.0,1,475,539
fitbit,8378563200,1462147200.0,1,351,385
fitbit,8378563200,1462233600.0,1,405,429
fitbit,8378563200,1462320000.0,1,441,477
fitbit,8378563200,1462406400.0,1,381,417
fitbit,8378563200,1462492800.0,1,323,355
fitbit,8378563200,1462579200.0,2,459,513
fitbit,8378563200,1462665600.0,1,545,606
fitbit,8378563200,1462752000.0,1,359,399
fitbit,8378563200,1462838400.0,1,342,391
fitbit,8378563200,1462924800.0,1,368,387
fitbit,8378563200,1463011200.0,1,496,546
fitbit,8792009665,1460419200.0,1,458,493
fitbit,8792009665,1460505600.0,1,531,552
fitbit,8792009665,1460592000.0,1,486,503
